script_id,actor,emotion_id,context,background
1,루시,nothing,뭐지…? 꿈인가?,무지개다리
2,-,-,(다음날^ 고양이들은 본인의 길을 떠난다.),나비가 사는 동네
3,나비,normal,루시. 다음에 또 보자.,나비가 사는 동네
4,B-312,normal,또 어리바리하게 길 잃지 말고. 다음에 보자.,나비가 사는 동네
5,루시,normal,이제 나 똑똑해. 그럼 나^ 갈게.,나비가 사는 동네
6,-,-,(어딘가 위태롭게 달려 나가는 루시.),나비가 사는 동네
7,루시,normal,마을을 좀 돌아다녀 볼까.,나비가 사는 동네
8,루시,normal,여긴… 주잉님과 숨바꼭질을 했던 곳이고…,나비가 사는 동네
9,루시,normal,여기서는 전에 주잉님과 같이 춤을 췄던 곳이고…,나비가 사는 동네
10,루시,normal,이곳에선 츄르를 먹으면서 다른 고양이들을 바라보았지.,나비가 사는 동네
11,루시,normal,앗!,나비가 사는 동네
12,마을 사람들,-,저거 루시 아니에요? 너 루시니?,나비가 사는 동네
13,루시,fear,여기서 도망쳐야 해! 나한테 무슨 짓을 할지 몰라…!,나비가 사는 동네
14,-,-,(쏜살같이 도망치기 시작하는 루시. 예전의 빛을 잃어버린 베이지색 털이 바람에 휘날린다.),나비가 사는 동네
15,루시,fear,저 사람들도 분명히 나를 괴롭힐 거야… 이제 장난감이 되긴 싫어…,나비가 사는 동네
16,루시,fear,내 털을 허락 없이 만지는 것도^ 거친 손길도^ 배를 아프게 하는 음식들도…,나비가 사는 동네
17,루시,fear,이젠 다 싫어…!,나비가 사는 동네
18,-,-,(루시는 정신없이 사람들 속을 헤집는다. 그러다 갑자기 멈추어 선다.),나비가 사는 동네
19,루시,normal,익숙한 향기…? ,나비가 사는 동네
20,루시,sad,아니야. 이젠 속지 않아. ,나비가 사는 동네
21,-,-,(절대 잊을 수 없는 향기였다. 머리로는 자그마한 희망을 애써 부정했지만 저도 모르게 몸이 움직였다.),나비가 사는 동네
22,루시,sad,주…주잉님…?,나비가 사는 동네
23,루시,sad,그럴 리 없어. 하지만…,나비가 사는 동네
24,-,-,(향기가 나는 방향으로 루시가 뛰어든다. 루시의 시야가 하얀빛으로 덮인다.),나비가 사는 동네
25,-,-,(끼이익-! 쿵!),나비가 사는 동네
26,-,-,(루시의 몸이 천천히 무너진다.),나비가 사는 동네
27,루시,sad,뭐지… 몸이 마음대로 움직이지 않아… 주잉님이 저기 있을지도 모르는데…,나비가 사는 동네
28,루시,sad,주잉님을… 주잉님… 사실은 다시 보고 싶었어요…,나비가 사는 동네
29,루시,sad,나를 버린 거였어도^ 이젠 똑똑해졌으니까… 내가 열심히 하면 다시 함께할 수 있을 거라고^ 그렇게 생각했는데…,나비가 사는 동네
30,루시,sad,끝까지 함께 하고 싶었는데…,나비가 사는 동네
31,루시,sad,(눈앞이 점점 빨개진다.),나비가 사는 동네
32,루시,sad,(주잉님의 향기가 가까워지는 것 같아.),나비가 사는 동네
33,루시,sad,(주잉님의 목소리가 들리는 것 같기도…),나비가 사는 동네
34,???,-,루시…? ,나비가 사는 동네
35,루시,sad,이번엔… 맞았구냥… 드디어… 찾았다냥…,나비가 사는 동네
36,루시,sad,주잉님…? 여전하구냥… 익숙한 원피스… 익숙한… 머리… ,나비가 사는 동네
37,루시,sad,그리고 익숙한… 향기…,나비가 사는 동네
38,루시,sad,주잉님… 보고 싶었다냥… 아직 날 사랑하냥…?,나비가 사는 동네
39,-,-,(따스한 온기를 느끼며 루시의 눈이 서서히 감긴다.),나비가 사는 동네
40,-,-,(작은 무덤에는 달맞이꽃 한 송이와 츄르가 놓여있다.),black
41,-,-,(한 인영이 무덤 앞에 앉아 꽃을 하염없이 바라본다.),black
42,???,-,루시. 정말 사랑했어.,black
43,루시,normal,언제까지나 기다리겠다냥! 루시^ 그럴 수 있다냥.,black
44,루시,normal,다시 만나게 되는 그날^ 내 여행이야기를 들려주겠다냥.,black
45,루시,normal,주잉님. 날 계속 사랑해줘서 고맙다냥.,black
46,무명,normal,야~ 루시. 또 기다리고 있는 거야? ,black
47,무명,normal,츄르 다 차렸어! 빨리 내려와. 다들 기다리잖아.,black
48,루시,glad,무명^ 알았다냥! 빨리 가겠다냥!,black
49,-,-,(루시는 무지개 너머에 말을 이어 건넨다.),black
50,루시,glad,주잉님. 루시도 계속 사랑한다냥.,black
51,루시,glad,앞으로도 영원히.,black
