script_id,actor,emotion_id,context,background
1,루시,glad,풀이 짱 많다냥!! 이렇게 풀로만 가득할 수 있다니! (풀을 뜯어 먹어본다.),교외
2,루시,sad,에퉤퉤… 맛은 없다냥… 주잉님이 왜 못 먹게 말린 건지 알겠다냥… ,교외
3,루시,sad,주잉님 보고 싶다냥… 흐엉엉…,교외
4,무명,normal,그만 울고 더 빨리 달려! 이 길을 따라서 쭉 가면 곧 기차역이 나와.,교외
5,B-312,irritation,정말 이 길 맞아?,교외
6,무명,normal,내가 이 길을 몇 번 왔다 갔다 했는데!,교외
7,무명,trickster,한국 전체가 내 구역이라니까?,교외
8,B-312,irritation,…,교외
9,루시,glad,우와!! 너 정말 길 잘 안다냥!!! 나는 다섯 걸음만 가도 간 길을 까먹는데…,교외
10,루시,normal,그래서 주잉님한테 멍총이 라고 놀림 받았다냥…,교외
11,B-312,anger,그만 조잘대고 빨리 달려!,교외
12,-,-,(여명이 밝아온다.),교외
13,루시,normal,이런 풍경은 처음 본다냥... 풀들이 반짝거린다냥… 이 황금 풀은 맛있지 않을까냥…?,교외
14,루시,sad,에퉤퉤… 이것도 아니었다냥... 주잉님이 주는 츄르로 입을 정화하고 싶다냥… 주잉님 보고 싶다냥! 흐엉엉…,교외
15,B-312,anger,이제 좀 조용히 해!! 달리는 내내 왜 풀을 계속 뜯어 먹고 있는 거야!!,교외
16,무명,embarrassed,농부 아저씨의 노고가… 뜯어 먹히고 있어…,교외
17,무명,trickster,아아… 안타까운 농부 아저씨…,교외
18,루시,sad,내가 잘못했다냥…,교외
19,B-312,normal,저기 뭔가 보이는데?,교외
20,무명,normal,기차역이야! 좀 더 빨리 달리자구!,교외
21,무명,normal,드디어 기차역에 도착했어!,기차역
22,루시,normal,신기하다냥! ,기차역
23,루시,nothing,근데 저번에 왔던 거 같기도 하고…?,기차역
24,루시,glad,에이…! 모르겠다냥!,기차역
25,무명,normal,자… 이쪽 개찰구를 통해서 표를 넣고…,기차역
26,무명,trickster,다들 나중에 수고비는 주겠지?,기차역
27,B-312,irritation,흠… 뒤에 저 사람들… 어딘가 낯이 익는데? ,기차역
28,B-312,fear,보호소 사람들이야!!!,기차역
29,B-312,fear,(뛰쳐나간다.) 어서 도망가야해!!,기차역
30,무명,embarrassed,이런…! ,기차역
31,무명,absence,세 갈래로 뛰어! 이따가 기차 가운데 칸에서 만나자!,기차역
32,루시,nothing,왜 다들 뛰기 시작하냥? 술래잡기 시간인 거냥? ,기차역
33,루시,glad,루시를 찾아보라냥!,기차역
34,-,-,(자판기 사이 좁은 틈에 숨은 루시.),기차역
35,루시,glad,이렇게 작은 틈 사이에 숨을 줄은 몰랐을 거라냥! ,기차역
36,루시,glad,이래서 유연성 운동을 꾸준히 해줘야 된다냥!!,기차역
37,루시,normal,주잉님이랑도 술래잡기 많이 했었는데… 내가 다 졌지만…,기차역
38,루시,glad,하지만 저 보호소 사람들은 날 찾을 수 없다냥!,기차역
39,루시,nothing,흠… 근데 뭔가… 이 곳 낯이 익다냥…,기차역
40,루시,normal,기차에 한번 타볼까…? 뭔가 기억날지도…,기차역
41,루시,sad,어디로 가야하는 거냥…? 여기 너무 넓고 흔들린다냥… 무섭다냥…,기차내부
42,루시,nothing,음? 저 머리스타일은!!,기차내부
43,루시,glad,주잉님을 닮았다냥~♪ 주잉님!! 루시 데려가요!!,기차내부
44,-,-,(생각 없이 호다닥 따라가는 루시.),기차내부
45,B-312,irritation,야! 너 거기서 뭐해! 여기 가운데 칸에서 만나기로 했는데 어디가는거야?,기차내부
46,무명,embarrassed,…!!,기차내부
47,무명,trickster,난 일찌감치 포기했어.,기차내부
48,루시,glad,나 주잉님을 찾은 거 같다냥! 열심히 달려서 붙잡아 보겠다냥!,기차내부
49,-,-,(당연히 주인이 아니었다.),기차내부
50,루시,sad,머리 스타일만 같고… 얼굴은 주잉님이 아니었다냥… 주잉님…,기차내부
51,루시,sad,날 잃어버린 후 여기에서 계속 기다리고 있다고 생각했는데… 엉엉…,기차내부
52,B-312,sad,…,기차내부
53,무명,embarrassed,그만 울어! 이제 뚝! 이리 와서 관절염 환자도 나을 거 같은 쿠션에 앉아보라구!!,기차내부
54,루시,sad,힝…,기차내부
55,루시,nothing,어라…? 여기는…?,기차내부
56,B-312,normal,…?,기차내부
