script_id,actor,emotion_id,context,background
1,무명,embarrassed,뭐지…? 꿈인가?,무지개다리
2,-,-,(다음날^ 고양이들은 본인의 길을 떠난다.),나비가 사는 동네
3,나비,normal,무명. 다음에 또 보자.,나비가 사는 동네
4,B-312,normal,또 사기 치다 맞지 말고. 다음에 보자.,나비가 사는 동네
5,무명,normal,두말하면 잔소리지!,나비가 사는 동네
6,-,-,(날렵하게 뛰어나가는 무명.),나비가 사는 동네
7,무명,absence,보호소로 가자! B-312와 루시 같은 친구들을 또 만날 수 있을지 몰라!,나비가 사는 동네
8,무명,normal,뭐^ 그 녀석들이 최고긴 하지만 말이야?,나비가 사는 동네
9,-,-,(비 내리는 여름^ 행복 보호소),보호소 B동
10,무명,normal,오늘 인생 마지막 날이야? 해 떨어진지가 언젠데 종이만 쳐다보고 있어?,보호소 B동
11,무명,normal,이 몸으로 말할 것 같으면… 한국 전체를 발아래 두고 있는 길잡이라 할 수 있지. 전국팔도 어디든 서슴없이 누비는 몸이라고.,보호소 B동
12,무명,normal,어서 따라 와! ,보호소 B동
13,무명,normal,자 이제 이 개구멍을 지나서 뛰어야 해 얘들아. 내가 길을 안내해줄게! 딱 붙어서 따라오라구!!,보호소 B동
14,무명,normal,이번에도 재미있는 여정을 떠나 볼까?,보호소 B동
15,무명,absence,음…? 저번 녀석들은 어땠었더라?,보호소 B동
16,무명,trickster,아^ 기억 안 난다! 보나 마나 중도 포기한 녀석들이었겠지^ 뭐. 빨리 길이나 안내하자!,보호소 B동
17,무명,trickster,이번 녀석들은 재밌었으면 좋겠어!,보호소 B동
