script_id,actor,emotion_id,context,background
1,무명,embarrassed,뭐지…? 꿈인가?,무지개다리
2,-,-,(다음날^ 고양이들은 본인의 길을 떠난다.),나비가 사는 동네
3,나비,normal,무명. 다음에 또 보자.,나비가 사는 동네
4,B-312,normal,또 사기 치다 맞지 말고. 다음에 보자.,나비가 사는 동네
5,무명,normal,두말하면 잔소리지!,나비가 사는 동네
6,-,-,(날렵하게 뛰어나가는 무명.),나비가 사는 동네
7,무명,absence,이제 어디로 가야할까? 과거의 내게 가장 소중했던 곳…,나비가 사는 동네
8,무명,absence,나의 옛 친구들과 함께하던 그곳으로 가자.,나비가 사는 동네
9,무명,absence,이제는 그 녀석들이 떠난 걸 받아들일 때야.,나비가 사는 동네
10,-,-,(공원으로 가는 무명.),나비가 사는 동네
11,무명,absence,…그 녀석들의 몸은 지금쯤 흙이 되었겠지? 꽃 한 송이라도 놔주고 싶은데…,공원
12,무명,trickster,이 정도는 빌리는 거지!,공원
13,무명,trickster,(화단의 꽃을 문다.),공원
14,무명,fear,앗!!!,공원
15,주민 A,-,아니!! 내가 30년 동안 가꾼 화단이!!!,공원
16,주민 A,-,누가 망군거여!!!,공원
17,무명,embarrassed,죄송해요… 딱 한 송이 빌린다는 게…,공원
18,무명,embarrassed,어…?,공원
19,무명,embarrassed,뭐지? 저 사람…? 어딜 보고 있는 거지? 날 보는 게 아니잖아?,공원
20,무명,embarrassed,어이… 할아버지…? 전 여깄다고요…?,공원
21,무명,embarrassed,(다가가 앞발을 올린다.),공원
22,-,-,(스윽),공원
23,무명,fear,…?,공원
24,무명,fear,통과…했어…?,공원
25,무명,fear,이 할아버지 유령인 거야?!,공원
26,주민 B,-,어휴^ 그깟 꽃이 뭐라고! 괜히 열 내지 말고 그냥 집이나 가요.,공원
27,주민 A,-,내가 30년 동안 가꾼 거라구…,공원
28,무명,fear,두 사람 다 내가 안보이나? 대체 뭐야?,공원
29,-,-,(놀라서 정신없이 내달리는 무명.),공원
30,무명,fear,으앗!!!,공원
31,-,-,(앞을 보지 못하고 사람들과 부딪힌다.),공원
32,-,-,(하지만 역시 통과한다.),공원
33,무명,fear,뭐…뭐야…? 내… 내 몸이…?,공원
34,동료고양이 A,-,무명! 여기서 뭐하고 있어! ,
35,무명,embarrassed,그…그! 17대1로 싸우고 있었지!!,
36,동료고양이 A,-,하하! 그런 망상 같은 건 이제 그만하고…,
37,동료고양이 A,-,먹이 주는 사람들이 왔다 갔어! 꾸물거리면 하나도 안 남는다고! 어서 따라와!,
38,동료고양이 A,-,이거 봐. 처음 보던 사람이었는데^ 사료를 한가득 주고 갔다고.,
39,동료고양이 B,-,우걱우걱… 너도 빨리 먹어!,
40,동료고양이 C,-,우리 아픈 거 보고 더 많이 주고 갔나봐!,
41,무명,normal,오… 맛있겠는데?,
42,무명,normal,근데 이거 독 든 거 아냐? 수상하잖아! 우리가 뭐가 예쁘다고 줘? ,
43,동료고양이 A,-,내가 좀 예쁘잖아. 애교 좀 폈지!,
44,무명,normal,하… 아무튼 배고팠는데 잘됐네.,balck
45,-,-,(절레절레 고개를 저으며 동료고양이들 옆에 앉는 무명.),balck
46,-,-,(함께 사료를 맛있게 먹는다.),balck
47,-,-,(…),balck
48,동료고양이 A,-,윽…! ,balck
49,무명,embarrassed,뭐야…? 너 왜 그래? 사래라도 걸렸냐?,balck
50,동료고양이 B,-,우웩… 속이 이상해…,balck
51,동료고양이 C,-,아아…,balck
52,-,-,(동료고양이들이 하나둘씩 거품을 물고 쓰러진다.),balck
53,무명,fear,!!!!!,balck
54,무명,fear,야! 너희… 장난치지 말고… 일어나… ,balck
55,무명,fear,재미없어…?,balck
56,무명,fear,…,balck
57,무명,fear,죽었어…,balck
58,무명,fear,윽…!,balck
59,-,-,(쓰러져 괴로움에 나뒹구는 무명.),balck
60,무명,fear,속이… 이상해… 설마… 사료에…? 대체 왜 이런 짓을…,balck
61,무명,fear,우리 모두 힘든 삶을 보내다가… 이제야 겨우 만나 행복해졌는데…,balck
62,무명,fear,이제야 서로의 가족이 되었는데…,balck
63,무명,fear,왜 우리를 떨어트려 놓는 거야…?,balck
64,무명,fear,난… 못 떠나…,balck
65,무명,fear,우린 계속… 행복할 거라고…,balck
66,무명,fear,(눈앞이 점점 흐려진다.),balck
67,무명,fear,…행…복…해…야…,balck
68,무명,fear,행…복…,balck
69,무명,fear,……,balck
70,-,-,(싸늘하게 식어가는 무명.),balck
71,무명,absence,…,무지개다리
72,무명,absence,그랬구나… 나도 그때 이미…,무지개다리
73,무명,absence,나는 차마 떠나지 못했던 거야. 나는 이 굴레 속에 갇혀있었어.,무지개다리
74,무명,absence,그래서 나와 같이 자신을 포기하고 갇혀있던 녀석들을 탈출시키고… 길을 안내해주고 그랬던 거야. 때로는 그 녀석들의 죽음도 방관하면서…,무지개다리
75,무명,absence,그걸 계속 반복하면서 과거를 인정하려 하지 않고 피해왔어.,무지개다리
76,무명,absence,…참^ 용기 없는 길잡이였네.,무지개다리
