script_id,actor,emotion_id,context,background
1,루시,glad,풀이 짱 많다냥!! 이렇게 풀로만 가득할 수 있다니! (풀을 뜯어 먹어본다),교외
2,루시,sad,에퉤퉤… 맛은 없다냥… 주잉님이 왜 못 먹게 말린 건지 알겠다냥… ,교외
3,루시,sad,주잉님 보고 싶다냥… 흐엉엉…,교외
4,무명,normal,그만 울고 더 빨리 달려! 이 길을 따라서 쭉 가면 곧 기차역이 나와.,교외
5,B-312,irritation,정말 이 길 맞아?,교외
6,무명,normal,내가 이 길을 몇 번 왔다 갔다 했는데!,교외
7,무명,trickster,한국 전체가 내 구역이라니까?,교외
8,B-312,irritation,…,교외
9,루시,glad,우와!! 너 정말 길 잘 안다냥!!! 나는 다섯 걸음만 가도 간 길을 까먹는데…,교외
10,루시,normal,그래서 주잉님한테 멍총이 라고 놀림 받았다냥…,교외
11,B-312,anger,그만 조잘대고 빨리 달려!,교외
12,-,-,(여명이 밝아온다.),교외
13,무명,normal,(오늘 하늘 예쁘네~),교외
14,루시,glad,하늘이 밝아지는 게 아름답다냥…!!,교외
15,무명,normal,야. 저것도 모르냐. 저건 여명이라고 하는 거야. ,교외
16,무명,trickster,인간들은 가끔 그걸 마신다고 하지. 크큭…,교외
17,루시,nothing,정말이냥…? 저걸 어떻게 마시지?,교외
18,루시,glad,맛있을 것 같긴 하다냥!!,교외
19,B-312,irritation,강아지 같은 소리 하지 말고 달리기나 해.,교외
20,무명,embarrassed,알았어^ 알았어~ 너 성격은 이미 강아지 같기도…,교외
21,B-312,irritation,…,교외
22,무명,absence,(맞아. 밝아진다고 안심할 때가 제일 위험한 거니까.),교외
23,무명,normal,드디어 기차역에 도착했어!,기차역
24,루시,normal,신기하다냥! ,기차역
25,루시,nothing,근데 저번에 왔던 거 같기도 하고..?,기차역
26,루시,glad,에이..! 모르겠다냥!,기차역
27,무명,normal,자… 이쪽 개찰구를 통해서 표를 넣고…,기차역
28,무명,trickster,다들 나중에 수고비는 주겠지?,기차역
29,B-312,irritation,흠… 뒤에 저 사람들… 어딘가 낯이 익는데? ,기차역
30,B-312,fear,보호소 사람들이야!!!,기차역
31,B-312,fear,(뛰쳐나간다) 어서 도망가야 해!!,기차역
32,무명,embarrassed,이런…! ,기차역
33,무명,absence,여기까지 따라온 녀석들은 별로 없었는데…,기차역
34,무명,absence,세 갈래로 뛰어! 이따가 기차 가운데 칸에서 만나자!,기차역
35,무명,normal,훗…! 따돌린 건가.,기차역
36,무명,normal,아니야. 애초에 날 안 쫓아 온 거야. 저 녀석들도 아는 거지.,기차역
37,무명,trickster,나는 잡을 수 없다구!,기차역
38,무명,absence,뭐^ 실상은 눈 다친 녀석은 필요 없다는 뜻이겠지만.,기차역
39,무명,normal,녀석들은 잘 도망쳤으려나? 가운데칸 가서 그루밍이나 하고 있어야겠다.,기차역
40,-,-,(무명과 B-312가 합류했다.),기차 내부
41,무명,normal,어? 저거 루시아냐?,기차 내부
42,B-312,irritation,야! 너 거기서 뭐해! 여기 가운데 칸에서 만나기로 했는데 어디가는거야?,기차 내부
43,무명,embarrassed,…!!,기차 내부
44,무명,trickster,난 일찌감치 포기했어.,기차 내부
45,루시,glad,나 주잉님을 찾은 거 같다냥! 열심히 달려서 붙잡아 보겠다냥!,기차 내부
46,-,-,(당연히 주인이 아니었다.),기차 내부
47,무명,absence,(루시가 많이 실망한 거 같은데^ 기분을 풀어주자.),기차 내부
48,무명,normal,자자…! 이제 슬픈 생각은 그만하고! 살던 마을이나 더 자세히 설명해 달라고!,기차 내부
49,루시,glad,앗^ 그건 내 전문이지!,기차 내부
50,루시,normal,음… 아주아주 큰집들이랑 큰 토끼 동상이 이써! 그 동상 딱딱한데 핥아 보면 비려~ 웩…,기차 내부
51,B-312,irritation,이 말 어제도 들은 거 같은데…,기차 내부
52,무명,normal,응응^ 그 토끼동상 서울 묘동에 있는 건데 어디서 봐도 알아볼 수 있을 거야. 비리비리 넌 토끼가 뭔진 아니?,기차 내부
53,B-312,determine,다…당연히 알지! 날카로운… 발톱이 있고…? 등에 가시가 있고… 어… 괴수같이 생긴 놈 맞지?,기차 내부
54,무명,trickster,하하! 네 말이 다~~ 맞아!!,기차 내부
