script_id,actor,emotion_id,context,background
1,-,-,(즐겁게 얘기를 나눈다.),나비의 집
2,B-312,fear,잠깐… 나비… 네 주인은 어디 갔어?,나비의 집
3,B-312,fear,어째 집에서 본 적이 없는 것 같은데…?,나비의 집
4,나비,glad,다른 고양이들 불편해 할까봐 다른데서 주무시고 오신다 했어!,나비의 집
5,나비,glad,물론 카메라로 위험상황을 다 지켜보고 있고!,나비의 집
6,B-312,fear,그럼… 그간의 행동들이… 다 감시당하고 있었던 거라고…?,나비의 집
7,B-312,fear,츄르 3개나 먹었는데…,나비의 집
8,나비,glad,감시가 아니라 보호야! 그리고 누나는 츄르 마음껏 먹어도 된다구!,나비의 집
9,B-312,fear,…! 그…그럼 하나만 더…,나비의 집
10,-,-,(빼-액),나비의 집
11,B-312,fear,저게 무슨 소리야!!,나비의 집
12,나비,normal,부잣집 초인종 소린 원래 다 그래.,나비의 집
13,B-312,normal,저게… 초인종 소리라고…?,나비의 집
14,나비주인,-,냥냐냐냥 냔냐냥. (해석 : 안녕하세요. 저는 나비 주인이라고 해요.),나비의 집
15,나비,glad,우리 주인님이야!,나비의 집
16,B-312,fear,집주인인데 왜 초인종을 누르고 들어오는 거야?,나비의 집
17,나비,glad,처음 보는 고양이에 대한 예의야! 누나가 놀랠까봐 초인종도 누르고 비밀번호도 누르고 들어오신 거야! ,나비의 집
18,나비,glad,주인님! 잘 들어왔어? 밥은 먹었고?,나비의 집
19,나비주인,-,냔냐냥. 냥 냐나나냥? (해석: 밥은 먹었어요. 그나저나 이쪽 고양이는 이름이 혹시 있나요?),나비의 집
20,B-312,fear,어떻게 냥냥어를 할 수 있는 거지?,나비의 집
21,나비,glad,우리 주인님의 직업은 애니멀 커뮤니케이터야! 그래서 냥냥어를 할 수 있어!,나비의 집
22,B-312,fear,상상을 초월하는 좋은… 주인이네…,나비의 집
23,나비,sad,주인님. 누나는 아직 진짜 이름이 없어.,나비의 집
24,나비주인,-,냥 냐냐냥…? (해석 : 혹시 가지고 싶은 이름이 있나요…?),나비의 집
25,B-312,normal,어? 내가 정하는 거야? 아직 생각해 둔 게 없는데…,나비의 집
26,B-312,normal,나비 네가 정해주면 안 돼?,나비의 집
27,나비,normal,누나의 선택에 맡길게. 분명 어떤 이름이든 누나와 잘 어울릴 거야!,나비의 집
28,B-312,normal,그럼 내 이름은…,나비의 집
29,삼월이,relief,삼월이야.,나비의 집
30,나비,normal,왜 그 이름을 지었어? 삼월이 누나?,나비의 집
31,삼월이,relief,소중한 너와 함께 태어난 날이어서 그래.,나비의 집
32,삼월이,relief,좋은 곳에서 태어난 건 아니었지만^ 세상에 나와 너와 처음 만난 순간은 그 어떤 날보다 기쁜 날이었으니까.,나비의 집
33,나비,glad,삼월이 누나… 응^ 정말 잘 어울리는 이름이야!,나비의 집
34,나비,move,이제 밥시간이다! 어서 가자!,나비의 집
35,삼월이,normal,크흠. 맛있군.,나비의 집
36,삼월이,relief,이젠 같이 행복해지자. 우리.,나비의 집
