script_id,actor,emotion_id,context,background
1,루시,glad,풀이 짱 많다냥!! 이렇게 풀로만 가득할 수 있다니! (풀을 뜯어 먹어본다),교외
2,루시,sad,에퉤퉤… 맛은 없다냥… 주잉님이 왜 못 먹게 말린 건지 알겠다냥… ,교외
3,루시,sad,주잉님 보고 싶다냥… 흐엉엉…,교외
4,무명,normal,그만 울고 더 빨리 달려! 이 길을 따라서 쭉 가면 곧 기차역이 나와.,교외
5,B-312,irritation,정말 이 길 맞아?,교외
6,무명,normal,내가 이 길을 몇 번 왔다 갔다 했는데!,교외
7,무명,trickster,한국 전체가 내 구역이라니까?,교외
8,B-312,irritation,…,교외
9,루시,glad,우와!! 너 정말 길 잘 안다냥!!! 나는 다섯 걸음만 가도 간 길을 까먹는데…,교외
10,루시,normal,그래서 주잉님한테 멍총이 라고 놀림 받았다냥…,교외
11,B-312,anger,그만 조잘대고 빨리 달려!,교외
12,B-312,normal,사방이 어둠으로 가득하다. 어둠 속에서 들려오던 고통에 울부짖는 소리. ‘너’가 가버리고 난 뒤에는 그 고통이 내 몫이 됐지.,교외
13,B-312,normal,이렇게 어두울 때면 늘 다른 고양이들의 비명소리 가운데서 조용히 숨죽이고 있었는데… 비명을 참는 건 이제 익숙하지만… ‘너’가 없는 이 어둠은 영원히 끝나지 않는 게 아닐까.,교외
14,B-312,sad,……,교외
15,-,-,(여명이 밝아온다.),교외
16,B-312,sad,내 동생도 이걸 보고 있을지 몰라… 너는 아름다운 것만 봤으면 좋겠는데… 인간들 사이에선 불가능하겠지. ,교외
17,B-312,determine,조금만 더 기다려줘. 내가 거기서 구해주러 갈테니까…!,교외
18,B-312,normal,…,교외
19,무명,normal,곧 기차역이야! 좀 더 빨리 달리자구!,교외
20,무명,normal,드디어 기차역에 도착했어!,기차역
21,루시,normal,신기하다냥! ,기차역
22,루시,nothing,근데 저번에 왔던 거 같기도 하고…?,기차역
23,루시,glad,에이…! 모르겠다냥!,기차역
24,무명,normal,자… 이쪽 개찰구를 통해서 표를 넣고…,기차역
25,무명,trickster,다들 나중에 수고비는 주겠지?,기차역
26,B-312,irritation,흠… 뒤에 저 사람들… 어딘가 낯이 익는데? ,기차역
27,B-312,fear,보호소 사람들이야!!!,기차역
28,B-312,fear,(뛰쳐나간다)어서 도망가야해!!,기차역
29,무명,embarrassed,이런…! ,기차역
30,무명,absence,세 갈래로 뛰어! 이따가 기차 가운데 칸에서 만나자! ,기차역
31,B-312,determine,여기까지 와서 잡힐 수는 없어!,기차역
32,-,-,(기차 선반에 웅크리고 떨고 있는 B-312.),기차 내부
33,B-312,fear,…저 녀석들 내가 이 칸에 타는 걸 봤을까?,기차 내부
34,B-312,determine,잡힐 수 없어…! 이것만 타면 동생을 만날 수 있다고…!,기차 내부
35,B-312,fear,잡힌다면… 예전의 그 녀석 같이 되겠지.,기차 내부
36,B-312,fear,비명 지를 새도 없이 그대로 죽어버릴 거야…,기차 내부
37,B-312,fear,………,기차 내부
38,-,-,(말캉),기차 내부
39,B-312,fear,하악!!! 누구야!! ,기차 내부
40,무명,normal,역시 너도 겁쟁이로 구만.,기차 내부
41,무명,normal,가운데 칸으로 오라고 했잖아. 왜 여기 있어.,기차 내부
42,B-312,irritation,지…지금 막 가려고 하는 중이었어!,기차 내부
43,B-312,anger,앞발이나 치워!!! 이 녀석아!!,기차 내부
44,무명,normal,B-312가 아니라 비리비리가 이름으로 더 어울리는데? 쿠쿡.,기차 내부
45,B-312,normal,됐고^ 가운데 칸으로 가는 길이나 앞장서!,기차 내부
46,무명,normal,어? 저거 루시아냐?,기차 내부
47,B-312,irritation,야! 너 거기서 뭐해! 여기 가운데 칸에서 만나기로 했는데 어디가는거야?,기차 내부
48,무명,embarrassed,…!!,기차 내부
49,무명,trickster,난 일찌감치 포기했어.,기차 내부
50,루시,glad,나 주잉님을 찾은 거 같다냥! 열심히 달려서 붙잡아 보겠다냥!,기차 내부
51,B-312,irritation,아… 저 멍충이…,기차 내부
52,-,-,(당연히 주인이 아니었다.),기차 내부
53,루시,sad,머리 스타일만 같고… 얼굴은 주잉님이 아니었다냥…. 주잉님…,기차 내부
54,루시,sad,날 잃어버린 후 여기에서 계속 기다리고 있다고 생각했는데… 엉엉…,기차 내부
55,B-312,sad,… (나도 찾아갔는데 저렇게 착각한 거면 어떡하지…?),기차 내부
