script_id,actor,emotion_id,context,background
1,-,-,(시간이 흐르고 단풍이 가득해졌다.),공원
2,루시,glad,나를 만져보고 가요~ 츄르 한입 주세요~,-
3,행인들,-,이 고양이 너무 귀엽다… 순한 거 봐…!,-
4,행인들,-,츄르 한입 줄게!,-
5,루시,glad,냠냠…,-
6,루시,glad,고마워!,-
7,-,-,(자연스럽게 자리를 유유히 벗어나는 루시. 한적한 곳에 자리를 잡는다.),-
8,루시,normal,…,-
9,루시,normal,오늘은 수확이 별로네. 저번엔 참치캔도 줬으면서.,-
10,루시,normal,점점 먹이 주는 사람이 줄고 있어. 공원도 슬슬 떠나야하는 건가?,-
11,루시,normal,대학가보단 낫지만 말이야. 유동인구도 많고.,-
12,루시,normal,(천천히 그루밍한다.),-
13,루시,normal,…저 표지판 새로 세우는 거 같은데. 뭐 시끄럽게 공사를 하고 있어. ,-
14,루시,normal,이러니까 이 길로 가는 사람이 적어졌잖아.,-
15,루시,normal,…? 무슨 표지판이지? 토끼가 그려져 있네.,-
16,루시,normal,토끼동상… 500미터… 저쪽…,-
17,루시,nothing,토끼동상…?,-
18,루시,fear,맞아… 길을 잃으면 토끼동상에서 만나자고 했었어…,-
19,루시,fear,내가 어떻게 둘을 잊었지?,-
20,루시,fear,내 목숨만 부지하려고 정신없이 살았더니… 쓰레기통까지 뒤지고…,-
21,루시,normal,지금도 그 녀석들이 날 기다려 주고 있을까…,-
22,루시,normal,벌써 날 버리고 갔을지도 몰라.,-
23,루시,normal,주잉님처럼.,-
