script_id,actor,emotion_id,context,background
1,-,-,(나비의 동네에 도착했다.),나비가 사는 동네
2,무명,embarrassed,(이제 어떻게 가지…?),-
3,루시,normal,어? 저기?,-
4,B-312,normal,!!!!!,-
5,나비,normal,모두 안녕! 어서와…!,-
6,나비,normal,나는 나비야.,-
7,나비,normal,다들 집에 들어와.,-
8,-,-,(나비가 츄르를 대접한다.),-
9,루시,normal,…나비. 오랜만이야.,-
10,나비,sad,루시야…,-
11,나비,sad,여기까지 오느라 많이 힘들었지?,-
12,나비,normal,어땠어. 여행은…?,-
13,루시,normal,…글쎄.,-
14,루시,normal,넌 행복하게 지냈나 보네?,-
15,나비,normal,난 늘 똑같지.,-
16,나비,normal,루시^ 주인님을 찾아 온 거지?,-
17,루시,normal,맞아. 하지만… 주잉님은 날…,-
18,루시,normal,역시 버린 거지…?,-
19,나비,sad,아니야. 너의 주인님은 유학을 갔어.,-
20,루시,fear,…뭐라고? 그러면? 나는 왜…?,-
21,나비,normal,잘 생각해봐… 너는 이미 진실을 알고 있어.,-
22,루시,fear,!,-
23,루시,glad,우리 어디로 놀러온 거냥?,기차역
24,루시,glad,주잉님도 같이 왔으면 좋았을 텐데!!,-
25,루시,sad,주잉님 못 본지 조금 지난 거 같다냥… 어서 다시 보고 싶다냥!,-
26,루시,normal,…,-
27,루시,normal,주잉님… 부모님…?,-
28,주인 부모,-,(차가운 눈빛으로 루시를 쏘아본다.),-
29,주인 부모,-,(루시가 든 가방을 기차역에 두고 사라진다.),-
30,루시,nothing,주잉님 부모님 어디가냥?,-
31,루시,nothing,주잉님 데리러 가는 거냥?,-
32,루시,glad,루시 풍경 구경하면서 얌전히 기다리겠다냥!,-
33,루시,glad,후딱 갔다 와야 한다냥? ,-
34,-,-,(해가 지고 밤이 되었다.),-
35,루시,glad,우웅… 루시 눈이 감긴다냥…,-
36,-,-,(…),-
37,-,-,(보호소 사람들이 나타나 잠든 루시를 데려간다.),-
38,루시,sad,맞아… 사실은…,나비의 집
39,루시,sad,주잉님 부모님이 나를 버린 거였어.,-
40,루시,sad,대체 왜…?,-
41,루시,sad,그럼 주잉님도 날… 버린 거야…?,-
42,나비,sad,아니야. 너의 주인님을 떠올려봐. 그럴 사람이 아니잖아.,-
43,루시,sad,…모르겠어.,-
44,루시,sad,나 따위는 누구나 버렸을 거야.,-
45,루시,sad,맨날 울고^ 바보같이 다 잊어버리고^ 물건도 다 깨부수고.,-
46,루시,sad,게다가 그나마 윤기 나던 털까지 지금은 다 잃어버렸어…,-
47,루시,sad,이런 날 누가 좋아해 주겠어…,-
48,나비,normal,루시야. 네가 어떤 모습이든 널 좋아해주는 이들이 있다는 걸 기억해.,-
49,루시,sad,…,-
50,나비,sad,잊으면 안 돼. 지금의 네 모습도 전부 너야.,-
51,나비,sad,천천히 다시 생각해봐.,-
52,나비,normal,네가 믿는 게 진실일거야.,-
53,나비,normal,모두들 잠자리는 괜찮니?,-
54,B-312,normal,이정도야 뭐. 늘 길거리에서 나뭇잎 베고 자는 것과 같은 고급스러움이군!,-
55,B-312,normal,…이라고 무명이 말할 차롄데?,-
56,루시,normal,아주 무명 다 됐다냥.,-
57,무명,fear,내 대사를 뺏겼어…,-
58,B-312,normal,무슨 생각을 하느라 조용한 거야?,-
59,무명,normal,너네한테 길도 다 안내해 줬고! 길잡이 역할이 끝났으니^ 이제 내일부턴 어떻게 할지를 생각하고 있었어!,-
60,나비,glad,우리 집에서 얼마든지 묵고 가도 돼!,-
61,B-312,irritation,좋은 말 할 때 나랑 나비랑 오붓한 시간 보내게 아침에 떠나라…!,-
62,B-312,relief,뭐 가끔은 놀러와도 되고!,-
63,무명,embarrassed,츄르를 조금은 더 먹을 수 있을 줄 알았는데! 매정하군!!,-
64,나비,glad,우리 누나를 조금 더 보고 싶은 건 아니고?,-
65,무명,normal,…아니야! 난 내일부터 다시 한국 전국 팔도를 서슴없이 누비는 스트릿 냥이로 돌아갈 거라고!,-
66,무명,trickster,뭐! 나도 가끔 나비네 츄르가 먹고 싶어지면 들를게!,-
67,나비,normal,그건 너의 선택이지.,-
68,나비,normal,루시^ 넌 어떡할 거야?,-
69,루시,normal,…생각해봐야지. ,-
70,루시,normal,일단은 오랜만에 돌아왔으니 마을을 좀 돌아다녀보려고. 그러다가 동네 사람을 마주치면…,-
71,나비,normal,그렇구나. 후회하지 않는 선택을 하길 바라.,-
